B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B15, Trade, 65.820, 98, B15, S04, 1
B15, Trade, 72.220, 104, B15, S09, 1
B15, Trade, 74.140, 96, S09, B15, 1
B15, Trade, 87.580, 98, S09, B15, 1
B15, Trade, 90.840, 105, S01, B15, 1
B15, Trade, 106.780, 97, B15, S10, 1
B15, Trade, 109.100, 102, B15, S04, 1
B15, Trade, 126.540, 95, S11, B15, 1
B15, Trade, 131.680, 90, S03, B15, 1
B15, Trade, 138.020, 108, S14, B15, 1
B15, Trade, 158.120, 91, S10, B15, 1
B15, Trade, 166.740, 105, B15, S10, 1
B15, Trade, 168.540, 103, S03, B15, 1
B15, Trade, 178.620, 96, B15, S08, 1
B15, Trade, 190.240, 91, S10, B15, 1
B15, Trade, 191.720, 100, S11, B15, 1
B15, Trade, 197.760, 96, S04, B15, 1
B15, Trade, 210.700, 96, S11, B15, 1
B15, Trade, 225.040, 107, S00, B15, 1
B15, Trade, 235.080, 96, S04, B15, 1
B15, Trade, 248.480, 98, S01, B15, 1
B15, Trade, 256.440, 111, S00, B15, 1
B15, Trade, 284.940, 107, S00, B15, 1
B15, Trade, 288.520, 95, S09, B15, 1
B15, Trade, 293.500, 102, B15, S11, 1
B15, Trade, 296.220, 90, S09, B15, 1
B15, Trade, 307.820, 102, B15, S08, 1
B15, Trade, 311.400, 87, B15, S02, 1
B15, Trade, 319.560, 106, S05, B15, 1
B15, Trade, 325.320, 87, S00, B15, 1
B15, Trade, 346.240, 108, S14, B15, 1
B15, Trade, 352.680, 97, S11, B15, 1
B15, Trade, 361.720, 89, S05, B15, 1
B15, Trade, 369.160, 105, B15, S10, 1
B15, Trade, 396.440, 96, B15, S10, 1
B15, Trade, 403.760, 105, S03, B15, 1
B15, Trade, 408.020, 95, B15, S10, 1
B15, Trade, 413.040, 98, B15, S09, 1
B15, Trade, 415.140, 112, S00, B15, 1
B15, Trade, 426.940, 87, B15, S08, 1
B15, Trade, 433.920, 98, B15, S08, 1
B15, Trade, 449.720, 92, B15, S00, 1
B15, Trade, 454.100, 101, S11, B15, 1
B15, Trade, 464.780, 97, S09, B15, 1
B15, Trade, 479.960, 108, S14, B15, 1
B15, Trade, 498.800, 91, S10, B15, 1
B15, Trade, 509.960, 99, B15, S05, 1
B15, Trade, 521.520, 90, B15, S08, 1
B15, Trade, 535.700, 91, B15, S06, 1
B15, Trade, 540.360, 108, S14, B15, 1
B15, Trade, 553.140, 106, S03, B15, 1
B15, Trade, 564.640, 89, S09, B15, 1
B15, Trade, 566.440, 95, S11, B15, 1
B15, Trade, 579.380, 96, S05, B15, 1
B15, Trade, 582.920, 91, S09, B15, 1
B15, Trade, 595.060, 98, B15, S04, 1
B15, Trade, 627.320, 111, B15, S03, 1
B15, Trade, 649.400, 83, S08, B15, 1
B15, Trade, 657.680, 101, S09, B15, 1
B15, Trade, 665.040, 90, S01, B15, 1
B15, Trade, 670.920, 107, S00, B15, 1
B15, Trade, 674.460, 107, S05, B15, 1
B15, Trade, 690.220, 93, S05, B15, 1
B15, Trade, 692.620, 96, S07, B15, 1
B15, Trade, 696.780, 97, S05, B15, 1
B15, Trade, 707.860, 104, S05, B15, 1
B15, Trade, 734.960, 94, B15, S02, 1
B15, Trade, 743.260, 106, S00, B15, 1
B15, Trade, 760.220, 90, S03, B15, 1
B15, Trade, 764.300, 100, S00, B15, 1
B15, Trade, 790.060, 95, S11, B15, 1
B15, Trade, 795.820, 92, S09, B15, 1
B15, Trade, 802.720, 103, S03, B15, 1
B15, Trade, 808.800, 90, S03, B15, 1
B15, Trade, 811.000, 108, S14, B15, 1
B15, Trade, 828.400, 101, S09, B15, 1
B15, Trade, 830.020, 107, S00, B15, 1
B15, Trade, 836.480, 86, S04, B15, 1
B15, Trade, 841.860, 94, S03, B15, 1
B15, Trade, 848.820, 102, B15, S08, 1
B15, Trade, 855.440, 94, S05, B15, 1
B15, Trade, 862.000, 104, S01, B15, 1
B16, 100
B16, Trade, 9.800, 98, S09, B16, 1
B16, Trade, 31.620, 98, B16, S10, 1
B16, Trade, 39.160, 100, S00, B16, 1
B16, Trade, 43.740, 89, S03, B16, 1
B16, Trade, 51.520, 103, S05, B16, 1
B16, Trade, 71.760, 105, S01, B16, 1
B16, Trade, 76.680, 94, S05, B16, 1
B16, Trade, 99.640, 96, S11, B16, 1
B16, Trade, 105.280, 100, B16, S01, 1
